group,variable,yes_n,yes_mean,yes_sd,no_n,no_mean,no_sd,mann_whitney_u,p
最常使用自由重量区,空间压迫/训练焦虑,5,2.6,1.047748909700114,27,3.922839506172839,0.496594129708845,16.0,0.008117597630147756
最常使用自由重量区,社交媒体审美内化,5,2.08,0.6756067232084392,27,2.766666666666666,0.9404945053161737,34.5,0.09138423634338219
最常使用自由重量区,训练自我效能,5,3.88,0.7563068160475616,27,3.4185185185185185,0.9635818743054627,86.0,0.3464169816241366
最常使用自由重量区,干预偏好指数,5,3.7666666666666666,0.2778888666755512,27,4.01604938271605,0.5686519048772672,43.5,0.22204665508817956
最常使用自由重量区,自由重量区回避频率,5,1.4,0.5477225575051661,27,3.4074074074074074,1.1851406686796317,10.0,0.002399048169626641
有系统力量训练经验,空间压迫/训练焦虑,8,3.1791666666666667,1.0310169890676057,24,3.895138888888889,0.577423043509283,56.5,0.08961866178382777
有系统力量训练经验,社交媒体审美内化,8,2.033333333333333,0.8864052604279183,24,2.8680555555555554,0.8630626942295052,47.5,0.03655882979724852
有系统力量训练经验,训练自我效能,8,3.825,0.8860022573334676,24,3.379166666666667,0.9472978351108995,117.5,0.3569925116983881
有系统力量训练经验,干预偏好指数,8,3.929166666666667,0.47457165314444794,24,3.993055555555556,0.5663664308355992,83.5,0.601074296426783
有系统力量训练经验,自由重量区回避频率,8,1.875,0.8345229603962802,24,3.5,1.2158375177486576,28.0,0.0025739197307197564
