q_num,question,valid_n,total_score,mean,construct,short_label
10,自由重量区的整体布局让我觉得不容易接近。,32.0,102.2,3.19,空间压迫/训练焦虑,自由重量区不易接近
11,当自由重量区男性较多时，我会明显感到不自在。,32.0,135.6,4.24,空间压迫/训练焦虑,男性较多时不自在
12,镜子很多、公开可见的环境会让我更在意别人怎么看我的身体或动作。,32.0,114.2,3.57,空间压迫/训练焦虑,镜子/公开可见增强被评价感
13,我担心自己动作不标准，会被别人注意或评判。,32.0,122.0,3.81,空间压迫/训练焦虑,担心动作不标准被评价
14,我觉得自由重量区更像是“男性主导”的空间。,32.0,115.5,3.61,空间压迫/训练焦虑,自由重量区男性主导感
15,自由重量区的人数密度、器械集中和拥挤感，会让我不想停留。,32.0,124.0,3.88,空间压迫/训练焦虑,拥挤感降低停留意愿
21,社交媒体上的审美内容会影响我选择什么样的运动。,32.0,108.7,3.4,社交媒体审美内化,审美内容影响运动选择
22,我担心力量训练会让我看起来不够纤细，或不符合主流女性审美。,32.0,59.3,1.85,社交媒体审美内化,担心力量训练不够纤细
23,我会不自觉地把社交媒体上流行的女性身材标准，当作自己努力的方向。,32.0,87.3,2.73,社交媒体审美内化,内化社交媒体女性身材标准
24,我有信心：如果我去健身房，我能够顺利实现自己的训练目标。,32.0,111.7,3.49,训练自我效能,健身房训练目标自我效能
25,如果社交媒体上对女性力量训练的刻板印象减少，我会更愿意参与力量训练。,32.0,108.4,3.39,干预接受度,减少刻板印象会提升参与意愿
26,如果自由重量区增加半私密分区或视觉遮挡，我会更愿意使用。,32.0,129.4,4.04,干预接受度,半私密分区会提升使用意愿
27,如果学校提供女性初学者力量训练 workshop，我会更愿意尝试力量训练。,32.0,144.0,4.5,干预接受度,女性初学者workshop会提升尝试意愿
