x,y,n,spearman_rho,p
空间压迫/训练焦虑,社交媒体审美内化,32,0.4046964949442306,0.021589880996186327
空间压迫/训练焦虑,训练自我效能,32,-0.020506806105888915,0.9112989962076703
空间压迫/训练焦虑,干预偏好指数,32,0.6705821646492766,2.6742349149069068e-05
空间压迫/训练焦虑,自由重量区回避频率,32,0.6517770516090856,5.320572470121527e-05
社交媒体审美内化,训练自我效能,32,0.14531695273167997,0.4274533136485987
社交媒体审美内化,干预偏好指数,32,0.3861340940001304,0.029046717427966037
社交媒体审美内化,自由重量区回避频率,32,0.3099390169773006,0.08428903503401261
训练自我效能,干预偏好指数,32,0.2645703176784574,0.1433821003584279
训练自我效能,自由重量区回避频率,32,-0.10653736306395424,0.5616823723253436
干预偏好指数,自由重量区回避频率,32,0.45486348926984105,0.00890628856371501
